#,
#7news,1
#<u+03a9>,1
#<u+0627><u+0644><u+0623><u+0633><u+062f>,1
#<u+0627><u+0644><u+062c><u+0632><u+064a><u+0631><u+0629>,1
#<u+0627><u+0644><u+062c><u+0632><u+064a><u+0631><u+0629>_<u+0633><u+0648><u+0631><u+064a><u+0627>,1
#<u+0627><u+0644><u+0643><u+064a><u+0645><u+0627><u+0648><u+064a>,1
#<u+062e><u+0644><u+064a>_<u+0643><u+0644>_<u+0627><u+0644><u+0646><u+0627><u+0633>_<u+062a><u+0639><u+0631><u+0641>,1
#<u+062f><u+064a><u+0631>_<u+0627><u+0644><u+0632><u+0648><u+0631>,1
#<u+0633><u+0648><u+0631><u+064a><u+0627>,1
#<u+2026>,10
#abnormal,2
#adessoinonda,1
#africa,1
#ahraralsham,1
#aleppo,1
#aleppo),1
#aljazeera,2
#alnusra,1
#alqaeda,3
#alternativefacts,1
#america,1
#americaisoverparty,1
#american,1
#arnews1936,1
#assad,21
#assad<u+2026>,1
#assad_and_the_us,1
#assad_putin_iran_genocide,1
#assadistheco<u+2026>,1
#attack,1
#bb4sp,1
#bbc,1
#bbc:,1
#bds,1
#benghazi,1
#blacklistirgc,1
#borisjohnson,2
#boycottunitedairlines,1
#breaking,7
#breaking:,26
#breaking<ed><u+00a0><u+00bd><ed><u+00b4><u+00b6>,1
#bush's,3
#cdnpoli,1
#chemicalattack,2
#chemicalattacks,1
#chemicalbrothers,1
#chemicalwea<u+2026>,1
#chemicalweapons,1
#china,6
#china's,4
#china<u+2019>s,1
#cia,1
#cnn.,1
#cool,6
#covert,1
#cps,
#cpvts,1
#daesh,1
#damascus,10
#daraa,2
#deir_ezzo<u+2026>,1
#delegation,1
#democrats,1
#donaldtrump,4
#donthecon,5
#dprk,
#drainthedeepstate,1
#drumpf,1
#easter,1
#egypt,1
#emolumentsclause,7
#english,1
#erictrump,1
#eu,1
#fakepresident<u+2026>,1
#falseflag,21
#famine,14
#feedly,1
#firespicer,16
#firespicer<u+2026>,1
#floods,14
#fsa,1
#fsa-sf,1
#gasattack,1
#ghouta,1
#glennbeck,
#golfwar,1
#haley,1
#handsoffsyria,5
#hawaii,1
#helpdinaali<u+2026>,2
#heshouldasaid,1
#hilo,1
#hitler,3
#holocaustdenial,1
#honolulu,1
#houseofcatsernestonearaleppo,1
#idlib,5
#idlib<u+2026>,1
#impeachmccain,1
#indigenous,1
#indivisibleradio<u+2026>,2
#intelgroup,2
#iran,7
#iran,
#iran.,1
#iranoutof<u+2026>,1
#iraq,6
#iraq,
#irgc,1
#irvine,1
#isaamobile1,1
#isis,2
#isis.,1
#isis:,1
#istandw<u+2026>,3
#istandwithtrum<u+2026>,1
#istandwithtulsi,1
#ivankadoctrine...,1
#jual:,1
#kauai,1
#kimjongun,1
#kremlinklan,5
#kurdistan,1
#laurine3215,1
#lawandorder,
#left,1
#lepen,1
#letters,1
#libya<u+2026>,1
#london,1
#maga,3
#mattis,4
#maui,1
#media,1
#merica',1
#middleeast,2
#middleeast:,1
#missilestrike,1
#mixedrace,1
#mondaymotivation,1
#moscow,10
#moscow,
#national,1
#nazis,2
#nepotism,5
#new,1
#news,1
#newsnight,1
#nhs,1
#nooilwar,5
#northkor<u+2026>,1
#northkorea,9
#nowar,1
#nowaronsyria,1
#nytletters,1
#oahu,1
#obama,1
#ontbijtnieuws,1
#opcw,1
#operationtimbersycamore,1
#palestine,1
#peace,1
#periscope:,1
#philippines,1
#pipeline,1
#pjnet,1
#pnpcbc,2
#politics,1
#potus,3
#presidentbannon,2
#presidenttrump,3
#presidenttrump:,2
#presstv,1
#prnews,1
#putin,3
#putin's,4
#putin.,3
#putin:,1
#putin<u+2026>,1
#putin_assad_crimes,3
#radiosberla,1
#realest<u+2026>,1
#realestate,1
#resist,10
#resisttrumpswar,1
#retweet,1
#rickeycallahan,1
#risingup,1
#rojava,2
#rome,
#rt,2
#russia,13
#russia,
#russia-#china,1
#russia.,3
#russiagat<u+2026>,1
#russiagate,3
#russiagate<u+2026>,4
#russian,1
#saa,1
#sarin,3
#satchat,1
#saturdaymorning,1
#savealeppozoo,1
#sean_spicer<u+2026>,1
#seanspicer,4
#sheepalwaysfollow,1
#siria,
#slatepitch,1
#snowden,1
#spicerfacts,3
#stopwarsyria,1
#stopwwiii,1
#support45,1
#susanriceunmasked,1
#sy<u+2026>,3
#syr<u+2026>,4
#syria,160
#syria's,1
#syria,
#syria,
#syria-n,
#syria.,28
#syria...,1
#syria.<ed><u+00a0><u+00bd><ed><u+00b8><u+00a1>,1
#syria:,2
#syria<u+2019>s,1
#syria<u+2026>,3
#syria?,1
#syriaairstrike,1
#syriaattack,1
#syriachemicalattack,1
#syriagasattack,3
#syriahoax,10
#syriahoax.,5
#syrians,1
#syrianstrikes,1
#syrianstrikes?,1
#syriastrikes,13
#syriastrikes!,1
#syriastrikes.,1
